Swarm number,Date_M,Time_M,Lat_M,Lon_M,Lat_S,Lat_E,Lon_S,Lon_E,Depth,Length,Thickness,Sv_mean120,TS,ind m-3,surfpar,BDepth,fluo,ADCP w in swarm,ADCP w above midpoint,mask above swarm,ADCP w below swarm,mask below swarm,w in minus out,mid-depth ADCP bin,,,,,,
90,1/9/2003,9:21:50,-57.834,-55.79355544,-57.83350,-57.83381,-55.79359453,-55.79349766,30.36988,32.997447,17.633487,-52.797718,-74.63720476,152.7385543,402.8120667,-3886,NaN,8.062,NaN,NaN,9.373,0,-1.310,3,,,,,,
91,1/9/2003,9:35:24,-57.873,-55.78224714,-57.87243,-57.87283,-55.78226782,-55.78216536,44.525139,40.0211,8.52568,-50.362595,-74.63720476,267.5845139,643.4842267,-3898,NaN,3.629,3.427,0,6.652,0,-1.411,4,,,,,,
92,1/9/2003,9:36:24,-57.876,-55.78139198,-57.87546,-57.87575,-55.78146226,-55.78135739,46.671566,27.61495,5.365829,-53.953744,-74.63720476,117.04317,646.2277067,-3898,NaN,4.737,3.427,0,6.652,0,-0.302,5,,,,,,
93,1/9/2003,9:38:20,-57.881,-55.77982023,-57.88116,-57.88137,-55.77982675,-55.77980614,34.275978,20.048145,3.321219,-55.495626,-74.63720476,82.06498143,660.72702,-3898,NaN,8.265,3.125,0,-0.806,0,7.106,3,,,,,,
95,1/9/2003,9:45:08,-57.902,-55.77482925,-57.90138,-57.90167,-55.77488176,-55.77477907,40.848048,30.651835,10.384416,-63.623413,-74.63720476,12.62929697,708.4636533,-3946,NaN,2.822,-2.923,0,4.536,0,2.016,4,,,,,,
96,1/9/2003,9:45:31,-57.903,-55.77453903,-57.90216,-57.90321,-55.77467214,-55.77440412,38.92545,115.884826,12.986647,-64.586808,-74.63720476,10.11671873,708.4636533,-3946,NaN,2.822,-2.923,0,NaN,1,5.745,4,,,,,,
97,1/9/2003,9:48:07,-57.911,-55.77268124,-57.91041,-57.91066,-55.77272051,-55.77265297,36.467369,25.46365,4.994082,-53.17377,-74.63720476,140.0694668,736.2139933,-3994,NaN,4.133,0.907,0,NaN,1,3.226,3,,,,,,
98,1/9/2003,9:48:35,-57.912,-55.77237322,-57.91156,-57.91226,-55.77245075,-55.77230476,37.618683,75.371452,7.596312,-53.397934,-74.63720476,133.0231034,739.2181133,-3994,NaN,4.133,0.907,0,NaN,1,3.226,3,,,,,,
99,1/9/2003,9:48:51,-57.913,-55.77217891,-57.91256,-57.91292,-55.77220567,-55.77212715,42.843866,34.336312,6.852818,-54.52327,-74.63720476,102.6581599,739.2181133,-3994,NaN,0.101,NaN,1,-2.218,0,2.318,4,,,,,,
100,1/9/2003,9:50:52,-57.919,-55.77072027,-57.91871,-57.91892,-55.77073614,-55.77071576,36.292321,20.058917,7.410439,-53.527143,-74.63720476,129.1237635,694.2798467,-3994,NaN,2.419,3.730,0,-0.202,0,0.655,3,,,,,,
102,1/9/2003,9:52:21,-57.923,-55.76959468,-57.92250,-57.92392,-55.76978527,-55.76944641,34.110942,156.599792,12.429026,-54.12205,-74.63720476,112.594059,676.95474,-3994,NaN,-5.141,NaN,0,-7.056,0,1.915,3,,,,,,
112,1/9/2003,10:06:51,-57.966,-55.75834543,-57.96580,-57.96680,-55.75848599,-55.75820207,62.245179,104.17688,19.306349,-58.701744,-74.63720476,39.22347575,571.7558333,-4063,NaN,4.234,NaN,1,4.033,0,0.202,7,,,,,,
123,1/9/2003,10:09:10,-57.973,-55.75642489,-57.97313,-57.97333,-55.75647762,-55.75635924,30.84826,22.315833,6.666944,-61.210846,-74.63720476,22.01080243,568.35392,-4063,NaN,6.957,1.815,0,NaN,1,5.142,3,,,,,,
124,1/9/2003,10:09:13,-57.973,-55.7563387,-57.97313,-57.97364,-55.75647762,-55.75632556,81.461582,42.674307,6.295197,-50.499141,-74.63720476,259.3023039,568.35392,-4063,NaN,6.957,1.815,0,NaN,1,5.142,3,,,,,,
125,1/9/2003,10:09:33,-57.974,-55.75609387,-57.97414,-57.97465,-55.7561695,-55.75601448,31.798347,56.110871,9.083301,-59.878684,-74.63720476,29.91245619,597.8875267,-4063,NaN,6.957,1.815,0,NaN,1,5.142,3,,,,,,
127,1/9/2003,10:10:16,-57.977,-55.75553103,-57.97583,-57.97740,-55.7557503,-55.75530909,35.549142,175.578896,16.704119,-57.636008,-74.63720476,50.13253614,597.8875267,-4063,NaN,6.957,1.815,0,NaN,0,5.142,3,,,,,,
128,1/9/2003,10:16:42,-57.996,-55.74992679,-57.99581,-57.99619,-55.75004541,-55.74989021,33.703698,41.113979,7.968059,-53.885202,-74.63720476,118.9050433,698.18932,-4071,NaN,-0.202,NaN,0,1.109,0,-1.311,3,,,,,,
129,1/9/2003,10:18:09,-58.000,-55.74862535,-58.00010,-58.00068,-55.74869965,-55.74853808,41.932295,60.72783,6.109323,-52.331844,-74.63720476,170.034119,692.6886333,-4071,NaN,11.392,NaN,1,10.888,0,0.504,4,,,,,,
130,1/9/2003,10:19:05,-58.003,-55.74775086,-58.00274,-58.00350,-55.74786388,-55.74763689,33.776986,84.112448,12.429026,-56.243049,-74.63720476,69.09006091,716.3100333,-4071,NaN,2.924,NaN,0,14.015,0,-11.091,3,,,,,,
131,1/9/2003,10:19:53,-58.005,-55.74705931,-58.00534,-58.00558,-55.74703709,-55.74698799,37.221904,24.402409,2.949472,-61.443702,-74.63720476,20.86172785,717.2291,-4071,NaN,2.924,NaN,1,14.015,0,-11.091,3,,,,,,
132,1/9/2003,10:21:00,-58.009,-55.74599879,-58.00826,-58.00897,-55.74610035,-55.74585722,34.2173,78.687303,14.659509,-59.168161,-74.63720476,35.22932934,724.0055067,-4071,NaN,1.916,NaN,0,5.545,0,-3.630,3,,,,,,
